title,link,description,datetime
Reading the Weird – Tor.com,https://www.tor.com/series/reading-the-weird/feed/,Science fiction. Fantasy. The universe. And related subjects.,2023-01-24 14:49
RSS: Album Reviews,https://pitchfork.com/feed/feed-album-reviews/rss,Album Reviews content RSS feed,2023-01-24 14:50
Best New Albums - Pitchfork,https://pitchfork.com/rss/reviews/best/albums/,"The best new releases from Pitchfork, the most trusted voice in music.",2023-01-24 14:50
Reading The Wheel of Time – Tor.com,https://www.tor.com/series/reading-the-wheel-of-time/feed/,Science fiction. Fantasy. The universe. And related subjects.,2023-01-24 14:51
Education News,https://www.nasa.gov/rss/dyn/educationnews.rss,A RSS feed containing the latest education related news from NASA.,2023-02-05 11:19
